id,nombre,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,estadoOperativo,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,fechaInstalacion,CODIGO_INTERNO,CONTRATO_COD,modelo,tipo,accesibilidad,IndicadorExposicion
5239333,multijuego en area infantil,166,valdefuentes,16,hortaleza,operativo,447794.52,4482617.42,etrs89,40.49261669,-3.6160418,avenida,avenida de las fuerzas armadas,11,28055,,,1996-01-01,5239333_CODIGO_INTERNO_desconocido,6,j3339 vivarea,infantiles,no,medio
5239357,tirolina en area infantil,166,valdefuentes,16,hortaleza,operativo,445718.6,4482015.66,etrs89,40.48706259,-3.64048537,avenida,avenida de las fuerzas armadas,11,28055,,,1996-01-01,5239357_CODIGO_INTERNO_desconocido,6,nat824 tirolina (con plataforma),infantiles,no,medio
5239367,varios juegos en areas infantiles,166,valdefuentes,16,hortaleza,operativo,446371.46,4481981.51,etrs89,40.48679738,-3.6327796,avenida,avenida de las fuerzas armadas,11,28055,,,1996-01-01,5239367_CODIGO_INTERNO_desconocido,6,m571 la calibradora,infantiles,no,bajo
5249926,columpio en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,435404.15,4472731.65,etrs89,40.40269085,-3.76123568,paseo,paseo puerta del angel,1,28011,,,1996-01-01,5249926_CODIGO_INTERNO_desconocido,6,ge-3020.2 columpio asientos cuna,infantiles,no,alto
5249928,columpio en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,435911.78,4473128.67,etrs89,40.40630659,-3.75529394,paseo,paseo puerta del angel,1,28011,,,1996-01-01,5249928_CODIGO_INTERNO_desconocido,6,120402 columpio (124841 asiento plano),infantiles,no,bajo
5134826,columpio en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,437936.747,4475308.53,etrs89,40.4260971,-3.73164381,paseo,comandante fortea,25,28008,"paseo comandante fortea 25 post. , ascendien",11051547,2019-06-21,0912303,ae21,,infantiles,no,medio
5158888,multijuego en area infantil,183,ensanche de vallecas,18,villa de vallecas,operativo,448265.507,4469382.643,etrs89,40.37341917,-3.60940699,calle,la pueblanueva,13,28051,"la pueblanueva, 000013",31027069,2019-07-15,1809336,ae21,,infantiles,no,bajo
5204956,multijuego en area infantil,86,valverde,8,fuencarral - el pardo,operativo,441353.48,4482948.07,etrs89,40.4951652,-3.69207381,calle,divina pastora,12,28034,calle divina pastora 12,11048745,2019-06-27,0802709,ae21,,infantiles,no,alto
5218685,tobogan autoportante en area infantil,12,embajadores,1,centro,operativo,440513.11,4473391.9,etrs89,40.40901939,-3.70109484,plaza,lavapies,2,28012,,20004738,2019-01-10,0103508,ae21,,infantiles,no,alto
5195674,multijuego en area infantil,71,gaztambide,7,chamberi,operativo,439585.16,4476094.971,etrs89,40.43330304,-3.71228738,calle,blasco de garay,38,28015,"c · calle blasco de garay 38 , ascendiente 1: 071",11038756,2019-09-09,0701412,ae21,torre megadeck,infantiles,no,bajo
52275,multijuego en area infantil,13,cortes,1,centro,operativo,440553.592,4474012.579,etrs89,40.41461366,-3.70067576,plaza,santa ana,8,28012,"pza · plaza santa ana 8 , ascendiente 1: 013 · co",11003720,2007-06-28,0102304,ae21,,infantiles,no,alto
5241062,muelle en area infantil,143,marroquina,14,moratalaz,operativo,446212.5,4473635.5,etrs89,40.41160166,-3.63394822,avenida,avenida del doctor garcia tapia,125,28030,,,1996-01-01,5241062_CODIGO_INTERNO_desconocido,6,m123 el mamut,infantiles,no,alto
5241071,muelle en area infantil,143,marroquina,14,moratalaz,operativo,446204.27,4473756.25,etrs89,40.41268892,-3.63405543,avenida,avenida del doctor garcia tapia,125,28030,,,1996-01-01,5241071_CODIGO_INTERNO_desconocido,6,mc-11 avion,infantiles,no,medio
5239283,muelle en area infantil,166,valdefuentes,16,hortaleza,operativo,446365.41,4481981.02,etrs89,40.48679257,-3.63285094,avenida,avenida de las fuerzas armadas,11,28055,,,1996-01-01,5239283_CODIGO_INTERNO_desconocido,6,mc-07 conejito,infantiles,no,medio
5239317,multijuego en area infantil,166,valdefuentes,16,hortaleza,operativo,447314.91,4483515.64,etrs89,40.500678,-3.62177573,avenida,avenida de las fuerzas armadas,11,28055,,,1996-01-01,5239317_CODIGO_INTERNO_desconocido,6,jmc-200-20-c conil (serie medieval),infantiles,no,medio
5239329,multijuego en area infantil,166,valdefuentes,16,hortaleza,operativo,447781.29,4481971.66,etrs89,40.48679852,-3.6161447,avenida,avenida de las fuerzas armadas,11,28055,,,1996-01-01,5239329_CODIGO_INTERNO_desconocido,6,j3315 vivarea,infantiles,no,bajo
5250195,escalada en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,436262.25,4473348.0,etrs89,40.40830931,-3.75118587,paseo,paseo puerta del angel,1,28011,,,1996-01-01,5250195_CODIGO_INTERNO_desconocido,6,m625 el crucigrama,infantiles,no,medio
5250206,muelle en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,435412.7,4472725.03,etrs89,40.40263188,-3.76113426,paseo,paseo puerta del angel,1,28011,,,1996-01-01,5250206_CODIGO_INTERNO_desconocido,6,121682 delfin,infantiles,no,alto
5250210,muelle en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,435916.77,4473138.6,etrs89,40.40639643,-3.75523613,paseo,paseo puerta del angel,1,28011,,,1996-01-01,5250210_CODIGO_INTERNO_desconocido,6,121467 leon,infantiles,no,alto
5241060,muelle en area infantil,143,marroquina,14,moratalaz,operativo,446048.72,4473647.5,etrs89,40.41169917,-3.63587946,avenida,avenida del doctor garcia tapia,125,28030,,,1996-01-01,5241060_CODIGO_INTERNO_desconocido,6,j836 helicoptero,infantiles,no,bajo
5241063,muelle en area infantil,143,marroquina,14,moratalaz,operativo,446221.53,4473642.87,etrs89,40.41166864,-3.63384242,avenida,avenida del doctor garcia tapia,125,28030,,,1996-01-01,5241063_CODIGO_INTERNO_desconocido,6,kpl110 margarita,infantiles,no,medio
5241070,muelle en area infantil,143,marroquina,14,moratalaz,operativo,446204.77,4473753.55,etrs89,40.41266463,-3.6340493,avenida,avenida del doctor garcia tapia,125,28030,,,1996-01-01,5241070_CODIGO_INTERNO_desconocido,6,mc-01 moto,infantiles,no,bajo
5241074,multijuego en area infantil,143,marroquina,14,moratalaz,operativo,446215.57,4473640.64,etrs89,40.41164816,-3.63391247,avenida,avenida del doctor garcia tapia,125,28030,,,1996-01-01,5241074_CODIGO_INTERNO_desconocido,6,ge-2700b marruecos b (solid),infantiles,no,bajo
5270811,balancin en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,437938.06,4475400.11,etrs89,40.42692219,-3.73163727,calle,felipe moratilla,7,28008,,11051665,2007-02-20,0915116,ae21,flor,infantiles,no,alto
5270838,carrusel en area infantil,91,casa de campo,9,moncloa - aravaca,operativo,437928.01,4475398.52,etrs89,40.42690711,-3.73175558,calle,felipe moratilla,7,28008,,11051665,2020-02-07,0908650,ae21,individual,infantiles,no,alto
