ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo
5241168,area de juegos/especial,143,marroquina,14.0,moratalaz,operativo,445399.37,4473636.44,etrs89,40.41155719,-3.64353142,avenida,avenida del doctor garcia tapia,125,28030.0,,,1998-01-01,5241168_CODIGO_INTERNO_desconocido,6,5,infantil
5241170,area de juegos/especial,143,marroquina,14.0,moratalaz,operativo,445486.55,4473592.81,etrs89,40.41116986,-3.64250022,avenida,avenida del doctor garcia tapia,125,28030.0,,,1998-01-01,5241170_CODIGO_INTERNO_desconocido,6,16,infantil
5241172,area de juegos/especial,143,marroquina,14.0,moratalaz,operativo,446048.26,4473648.77,etrs89,40.41171058,-3.63588499,avenida,avenida del doctor garcia tapia,125,28030.0,,,1998-01-01,5241172_CODIGO_INTERNO_desconocido,6,11,infantil
5241174,area de juegos/especial,143,marroquina,14.0,moratalaz,operativo,446172.81,4473736.0,etrs89,40.41250446,-3.63442449,avenida,avenida del doctor garcia tapia,125,28030.0,,,1998-01-01,5241174_CODIGO_INTERNO_desconocido,6,5,infantil
5241176,area de juegos/especial,143,marroquina,14.0,moratalaz,operativo,446188.99,4473734.41,etrs89,40.41249118,-3.63423366,avenida,avenida del doctor garcia tapia,125,28030.0,,,1998-01-01,5241176_CODIGO_INTERNO_desconocido,6,3,infantil
5241178,area de juegos/especial,143,marroquina,14.0,moratalaz,operativo,446200.44,4473752.45,etrs89,40.41265444,-3.63410024,avenida,avenida del doctor garcia tapia,125,28030.0,,,1998-01-01,5241178_CODIGO_INTERNO_desconocido,6,7,infantil
5241180,area de juegos/especial,142,horcajo,14.0,moratalaz,operativo,446743.52,4473480.4,etrs89,40.41023857,-3.62767691,avenida,avenida del doctor garcia tapia,125,28030.0,,,1998-01-01,5241180_CODIGO_INTERNO_desconocido,6,6,infantil
5246182,area de juegos/especial,91,casa de campo,9.0,moncloa - aravaca,operativo,435403.87,4472725.72,etrs89,40.40263741,-3.76123838,paseo,paseo puerta del angel,1,28011.0,,,1998-01-01,5246182_CODIGO_INTERNO_desconocido,6,17,infantil
5246184,area de juegos/especial,91,casa de campo,9.0,moncloa - aravaca,operativo,436263.88,4473344.77,etrs89,40.40828033,-3.75116634,paseo,paseo puerta del angel,1,28011.0,,,1998-01-01,5246184_CODIGO_INTERNO_desconocido,6,18,infantil
5246186,area de juegos/especial,91,casa de campo,9.0,moncloa - aravaca,operativo,436729.8,4473487.52,etrs89,40.40960183,-3.74568985,paseo,paseo puerta del angel,1,28011.0,,,1998-01-01,5246186_CODIGO_INTERNO_desconocido,6,8,infantil
